Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,28,Tech,7,9.0,7,125795
1,27,Operations,3,8.5,7,88267
1,28,Engineering,0,9.0,7,249200
1,26,Media,2,8.0,7,363633
0,29,Tech,7,9.5,6,445075
0,31,Tech,7,10.5,7,105705
0,28,Other,4,9.0,6,242948
0,35,Other,4,12.5,7,263636
1,34,Tech,7,12.0,6,187213
0,27,Other,4,8.5,6,215363
0,27,Other,4,8.5,6,76330
1,38,Other,4,14.0,6,249344
0,29,Tech,7,9.5,6,418587
0,30,Other,4,10.0,6,143988
0,33,Other,4,11.5,6,297127
0,25,Other,4,7.5,6,120239
0,32,Other,4,11.0,6,299358
1,28,Sales,6,9.0,6,150035
1,28,Engineering,0,9.0,6,195785
1,23,Finance,1,6.5,6,92714
1,29,Tech,7,9.5,6,113126
0,32,Tech,7,11.0,6,232628
0,27,Tech,7,8.5,6,123287
1,29,Media,2,9.5,6,161500
0,24,Tech,7,7.0,6,122269
0,27,Tech,7,8.5,6,106605
1,26,Tech,7,8.0,6,84317
0,23,Other,4,6.5,6,60723
1,24,Other,4,7.0,6,60723
1,26,Product,5,8.0,6,154048
0,26,Other,4,8.0,6,60723
0,36,Product,5,13.0,6,333194
0,26,Other,4,8.0,6,69138
0,29,Tech,7,9.5,6,112738
0,35,Tech,7,12.5,6,156501
0,25,Other,4,7.5,6,44375
1,26,Other,4,8.0,6,44375
0,30,Other,4,10.0,6,71395
0,38,Other,4,14.0,8,253273
0,32,Finance,1,11.0,72,111947
0,25,Operations,3,7.5,12,256
0,31,Tech,7,10.5,44,3898
0,31,Tech,7,10.5,55,364137
0,32,Tech,7,11.0,20,239957
1,32,Sales,6,11.0,100,115843
1,40,Sales,6,15.0,32,31906
1,37,Other,4,13.5,89,298183
1,30,Finance,1,10.0,47,167190
0,28,Engineering,0,9.0,42,59556
1,32,Finance,1,11.0,14,118734
0,34,Other,4,12.0,41,274262
1,25,Other,4,7.5,37,699
0,33,Media,2,11.5,41,227364
0,30,Finance,1,10.0,61,107465
1,35,Tech,7,12.5,77,247721
0,33,Media,2,11.5,57,288597
0,32,Other,4,11.0,10,225117
1,33,Tech,7,11.5,11,198049
1,28,Tech,7,9.0,31,86609
0,34,Sales,6,12.0,25,133673
0,28,Media,2,9.0,70,105661
0,30,Product,5,10.0,49,148974
0,40,Media,2,15.0,24,303880
1,38,Other,4,14.0,75,124469
0,35,Other,4,12.5,74,301605
0,35,Tech,7,12.5,50,335149
0,32,Other,4,11.0,32,108623
0,33,Engineering,0,11.5,37,219167
0,30,Finance,1,10.0,36,100874
1,37,Other,4,13.5,78,143647
0,33,Other,4,11.5,75,167374
0,28,Tech,7,9.0,49,98453
0,31,Operations,3,10.5,79,203252
0,33,Media,2,11.5,61,239817
0,27,Other,4,8.5,49,146181
0,31,Tech,7,10.5,34,132569
0,36,Tech,7,13.0,40,203731
0,28,Tech,7,9.0,34,138934
0,39,Other,4,14.5,76,124896
0,37,Tech,7,13.5,58,215116
0,33,Media,2,11.5,55,265121
0,33,Tech,7,11.5,74,174189
0,35,Other,4,12.5,36,171928
0,38,Tech,7,14.0,78,312440
0,35,Engineering,0,12.5,73,278219
1,37,Finance,1,13.5,75,118803
0,40,Tech,7,15.0,76,268334
0,29,Other,4,9.5,56,155594
0,28,Other,4,9.0,8,163222
0,38,Engineering,0,14.0,77,320957
0,39,Other,4,14.5,74,379039
0,41,Other,4,15.5,58,237806
0,33,Engineering,0,11.5,37,251152
0,30,Tech,7,10.0,9,114591
0,33,Tech,7,11.5,65,107049
0,31,Other,4,10.5,33,182404
0,29,Product,5,9.5,40,152140
1,28,Engineering,0,9.0,11,116033
0,39,Media,2,14.5,78,268718
1,28,Other,4,9.0,33,71371
0,30,Tech,7,10.0,31,117700
0,31,Finance,1,10.5,60,110257
0,40,Other,4,15.0,73,175864
0,39,Other,4,14.5,74,144182
0,36,Other,4,13.0,61,139103
0,31,Engineering,0,10.5,75,318763
1,29,Other,4,9.5,31,96309
0,33,Engineering,0,11.5,58,237892
1,35,Other,4,12.5,76,254223
0,29,Finance,1,9.5,22,88729
0,33,Other,4,11.5,74,142057
0,37,Other,4,13.5,75,171423
0,28,Tech,7,9.0,38,106812
0,35,Other,4,12.5,43,233796
1,30,Operations,3,10.0,48,122200
1,32,Other,4,11.0,61,142850
0,31,Engineering,0,10.5,35,102611
0,28,Tech,7,9.0,49,97847
0,35,Tech,7,12.5,40,233541
0,31,Tech,7,10.5,79,243548
0,41,Other,4,15.5,77,170118
1,31,Other,4,10.5,10,111598
0,38,Media,2,14.0,76,370368
0,35,Other,4,12.5,77,143729
0,29,Operations,3,9.5,50,138272
0,31,Other,4,10.5,75,202840
0,36,Other,4,13.0,64,116839
0,28,Tech,7,9.0,32,115128
0,30,Engineering,0,10.0,23,200556
1,32,Tech,7,11.0,77,132061
0,31,Media,2,10.5,48,221544
0,31,Engineering,0,10.5,33,133636
0,30,Other,4,10.0,26,141230
1,33,Media,2,11.5,77,187720
1,30,Finance,1,10.0,75,119557
0,35,Sales,6,12.5,29,212250
0,34,Other,4,12.0,12,99871
1,37,Tech,7,13.5,62,224091
1,29,Media,2,9.5,79,127917
1,29,Operations,3,9.5,55,133337
0,33,Other,4,11.5,78,374912
1,29,Finance,1,9.5,25,99325
1,32,Finance,1,11.0,70,104000
0,37,Media,2,13.5,71,367155
1,32,Other,4,11.0,35,192799
0,35,Media,2,12.5,65,332960
0,36,Other,4,13.0,71,271871
0,29,Operations,3,9.5,74,172798
0,29,Other,4,9.5,21,149353
1,30,Other,4,10.0,75,162016
0,31,Other,4,10.5,77,236285
0,34,Tech,7,12.0,48,240900
0,35,Other,4,12.5,30,149228
1,29,Other,4,9.5,75,209297
1,31,Product,5,10.5,69,135063
1,33,Tech,7,11.5,67,218694
0,31,Other,4,10.5,52,114375
0,33,Media,2,11.5,71,277920
0,37,Other,4,13.5,85,120781
0,31,Other,4,10.5,70,209503
0,33,Product,5,11.5,92,203468
0,37,Tech,7,13.5,23,234061
0,29,Product,5,9.5,92,178533
0,33,Other,4,11.5,26,87890
0,32,Other,4,11.0,66,225519
0,29,Other,4,9.5,58,148573
0,28,Other,4,9.0,20,124559
0,32,Other,4,11.0,76,116201
0,29,Tech,7,9.5,41,110666
1,35,Other,4,12.5,90,313460
0,33,Other,4,11.5,55,216690
0,37,Engineering,0,13.5,26,296629
0,35,Media,2,12.5,87,239865
0,33,Finance,1,11.5,67,112193
0,34,Media,2,12.0,62,280473
1,28,Tech,7,9.0,46,144322
1,34,Media,2,12.0,69,242336
0,31,Tech,7,10.5,86,238054
1,29,Tech,7,9.5,49,138925
1,29,Media,2,9.5,32,137280
0,33,Tech,7,11.5,41,284667
1,32,Tech,7,11.0,35,103413
1,29,Other,4,9.5,81,154834
1,28,Operations,3,9.0,81,129858
0,38,Other,4,14.0,63,121168
0,29,Tech,7,9.5,48,174089
0,38,Engineering,0,14.0,36,400848
0,33,Tech,7,11.5,33,286415
0,32,Other,4,11.0,43,163872
0,34,Media,2,12.0,31,296308
0,40,Other,4,15.0,12,198367
0,31,Other,4,10.5,52,168590
0,34,Other,4,12.0,26,166817
0,37,Product,5,13.5,28,381274
0,35,Tech,7,12.5,81,559084
0,39,Sales,6,14.5,12,432400
0,35,Other,4,12.5,61,281660
0,34,Other,4,12.0,33,151863
1,29,Tech,7,9.5,37,153655
0,36,Tech,7,13.0,84,296066
0,29,Tech,7,9.5,84,212708
0,28,Tech,7,9.0,19,140140
1,30,Other,4,10.0,81,121135
1,32,Media,2,11.0,35,162967
0,39,Product,5,14.5,38,173915
1,34,Other,4,12.0,38,166280
1,38,Tech,7,14.0,56,275196
0,29,Tech,7,9.5,23,172259
1,31,Finance,1,10.5,91,99648
1,30,Other,4,10.0,38,123232
0,33,Other,4,11.5,84,261530
1,37,Sales,6,13.5,31,118810
0,32,Finance,1,11.0,64,89757
0,32,Tech,7,11.0,67,277327
0,36,Media,2,13.0,63,220601
1,36,Engineering,0,13.0,37,130710
0,29,Other,4,9.5,29,187090
0,36,Media,2,13.0,35,252249
1,29,Product,5,9.5,81,152149
0,33,Other,4,11.5,33,188617
0,30,Other,4,10.0,58,172232
0,31,Tech,7,10.5,65,72929
0,40,Engineering,0,15.0,37,272687
1,36,Operations,3,13.0,89,236048
0,39,Sales,6,14.5,96,362033
0,36,Tech,7,13.0,88,382988
1,31,Tech,7,10.5,72,188621
0,40,Sales,6,15.0,86,274588
0,35,Finance,1,12.5,93,122480
0,41,Tech,7,15.5,52,390375
0,42,Media,2,16.0,38,341364
0,33,Other,4,11.5,63,213219
1,32,Tech,7,11.0,64,208756
1,36,Media,2,13.0,32,194994
0,28,Tech,7,9.0,42,130957
0,32,Operations,3,11.0,50,185693
0,36,Sales,6,13.0,35,119724
0,34,Other,4,12.0,33,196477
0,39,Other,4,14.5,71,130814
0,30,Tech,7,10.0,54,130294
0,35,Media,2,12.5,133,476046
0,30,Engineering,0,10.0,17,266879
0,39,Tech,7,14.5,29,164276
0,35,Other,4,12.5,63,273394
0,31,Tech,7,10.5,28,304702
0,32,Other,4,11.0,35,102846
0,35,Other,4,12.5,38,348617
1,32,Sales,6,11.0,23,78350
0,35,Other,4,12.5,105,286230
1,36,Other,4,13.0,34,180518
0,38,Engineering,0,14.0,24,317410
0,32,Other,4,11.0,104,195250
0,38,Media,2,14.0,35,246014
0,36,Other,4,13.0,126,191767
0,32,Other,4,11.0,139,270000
1,44,Other,4,17.0,190,202191
0,37,Other,4,13.5,151,187782
0,36,Finance,1,13.0,103,109934
0,49,Tech,7,19.5,120,519979
1,29,Media,2,9.5,64,235809
0,31,Other,4,10.5,56,152434
0,38,Other,4,14.0,154,259048
0,42,Tech,7,16.0,139,278248
0,42,Operations,3,16.0,173,254923
1,38,Other,4,14.0,108,238415
0,42,Finance,1,16.0,123,385084
0,39,Other,4,14.5,41,177146
1,35,Engineering,0,12.5,148,263158
1,28,Operations,3,9.0,10,142833
0,35,Other,4,12.5,108,183986
0,31,Operations,3,10.5,62,200475
0,38,Finance,1,14.0,106,197567
0,38,Operations,3,14.0,37,201104
0,37,Media,2,13.5,102,352455
1,38,Finance,1,14.0,146,118705
0,33,Other,4,11.5,136,344397
0,40,Other,4,15.0,113,564931
0,35,Other,4,12.5,127,262776
0,40,Media,2,15.0,190,494391
0,38,Finance,1,14.0,151,269344
0,35,Other,4,12.5,144,363462
0,38,Other,4,14.0,114,267435
0,33,Media,2,11.5,80,196804
0,38,Media,2,14.0,83,375290
0,40,Other,4,15.0,87,211594
1,29,Other,4,9.5,60,111078
0,31,Other,4,10.5,87,142024
0,42,Tech,7,16.0,94,201071
1,33,Sales,6,11.5,93,285436
0,35,Tech,7,12.5,101,228296
0,41,Finance,1,15.5,104,133761
0,42,Tech,7,16.0,118,205742
1,29,Other,4,9.5,48,116053
0,38,Other,4,14.0,144,330280
0,44,Sales,6,17.0,190,634733
0,29,Tech,7,9.5,42,146703
0,33,Other,4,11.5,35,239695
0,43,Product,5,16.5,85,491032
0,47,Other,4,18.5,96,465851
0,30,Finance,1,10.0,24,93105
0,28,Other,4,9.0,69,106644
1,37,Other,4,13.5,61,364113
0,34,Engineering,0,12.0,79,298537
0,36,Engineering,0,13.0,70,220125
0,30,Other,4,10.0,50,163222
0,33,Tech,7,11.5,77,178437
0,37,Other,4,13.5,47,290572
0,36,Finance,1,13.0,74,122378
0,46,Other,4,18.0,33,433172
0,40,Media,2,15.0,32,391846
1,31,Other,4,10.5,33,126448
0,36,Media,2,13.0,35,212345
0,39,Tech,7,14.5,120,361763
0,39,Finance,1,14.5,125,173876
1,30,Tech,7,10.0,27,141696
0,35,Other,4,12.5,123,232765
1,29,Media,2,9.5,47,114272
0,30,Media,2,10.0,40,153353
1,30,Other,4,10.0,48,85895
1,29,Tech,7,9.5,84,146418
0,28,Media,2,9.0,84,188155
1,28,Tech,7,9.0,42,134657
1,32,Other,4,11.0,17,166565
1,32,Tech,7,11.0,14,162451
0,29,Tech,7,9.5,41,154296
1,30,Other,4,10.0,32,205381
0,36,Engineering,0,13.0,26,353531
1,33,Media,2,11.5,66,187671
1,35,Other,4,12.5,80,111259
0,35,Other,4,12.5,59,252589
1,32,Operations,3,11.0,46,158068
0,36,Sales,6,13.0,62,150682
0,37,Other,4,13.5,9,114591
1,28,Tech,7,9.0,84,204752
1,32,Other,4,11.0,12,195114
1,29,Product,5,9.5,40,148654
0,33,Media,2,11.5,90,291982
0,42,Other,4,16.0,137,149470
0,31,Tech,7,10.5,68,167193
1,31,Tech,7,10.5,70,183775
0,37,Tech,7,13.5,120,337517
0,30,Tech,7,10.0,17,155524
0,30,Other,4,10.0,35,108519
0,32,Other,4,11.0,34,142747
0,33,Media,2,11.5,101,252353
0,30,Other,4,10.0,49,147990
0,33,Media,2,11.5,34,212200
0,34,Finance,1,12.0,98,114995
0,39,Other,4,14.5,47,196790
0,43,Other,4,16.5,108,176483
0,30,Other,4,10.0,106,152445
0,41,Other,4,15.5,63,477168
0,28,Engineering,0,9.0,21,115436
0,34,Other,4,12.0,47,199323
0,32,Finance,1,11.0,76,113498
0,30,Tech,7,10.0,51,235319
0,31,Other,4,10.5,53,231067
0,34,Media,2,12.0,38,308449
0,37,Finance,1,13.5,84,112805
0,30,Other,4,10.0,70,154351
0,36,Media,2,13.0,66,334520
0,31,Other,4,10.5,31,121840
0,35,Finance,1,12.5,96,160832
0,39,Media,2,14.5,53,271006
0,38,Tech,7,14.0,107,235975
1,41,Other,4,15.5,148,254925
0,35,Tech,7,12.5,152,114404
0,35,Tech,7,12.5,103,264486
0,46,Other,4,18.0,173,942563
0,32,Tech,7,11.0,38,257788
1,27,Finance,1,8.5,59,86779
0,36,Finance,1,13.0,66,100945
0,34,Other,4,12.0,59,203980
0,34,Tech,7,12.0,70,232397
0,30,Media,2,10.0,21,175572
0,29,Other,4,9.5,10,191400
0,36,Sales,6,13.0,23,439212
0,32,Engineering,0,11.0,33,241541
0,39,Other,4,14.5,87,126802
0,37,Tech,7,13.5,85,211808
0,29,Media,2,9.5,55,132036
0,30,Tech,7,10.0,10,191460
0,35,Tech,7,12.5,85,228917
0,32,Other,4,11.0,43,98594
0,41,Tech,7,15.5,131,360394
0,31,Tech,7,10.5,54,158382
0,30,Media,2,10.0,108,191108
0,35,Other,4,12.5,54,141472
0,32,Tech,7,11.0,108,267228
0,33,Other,4,11.5,51,145626
0,37,Other,4,13.5,18,257675
1,30,Product,5,10.0,52,129166
0,35,Other,4,12.5,95,261937
1,31,Other,4,10.5,10,179083
0,33,Other,4,11.5,95,211248
0,37,Product,5,13.5,167,499278
0,31,Tech,7,10.5,61,170314
0,32,Media,2,11.0,28,160981
1,41,Tech,7,15.5,80,106725
0,32,Other,4,11.0,70,147997
0,35,Operations,3,12.5,70,136232
0,32,Tech,7,11.0,96,232980
0,36,Sales,6,13.0,71,941642
0,30,Media,2,10.0,41,192043
1,34,Finance,1,12.0,47,172987
1,35,Tech,7,12.5,61,294719
0,30,Tech,7,10.0,21,114114
0,41,Engineering,0,15.5,25,476188
0,36,Other,4,13.0,95,236271
0,43,Engineering,0,16.5,40,533627
0,33,Media,2,11.5,83,261735
0,32,Operations,3,11.0,65,212520
0,37,Engineering,0,13.5,106,168397
0,44,Other,4,17.0,143,443238
0,37,Finance,1,13.5,110,185718
0,41,Other,4,15.5,134,185000
0,32,Tech,7,11.0,29,312273
0,32,Tech,7,11.0,118,143604
0,40,Other,4,15.0,125,373194
0,33,Media,2,11.5,125,264772
0,33,Other,4,11.5,54,112067
0,41,Other,4,15.5,13,279207
0,47,Media,2,18.5,39,261918
0,39,Other,4,14.5,98,92174
1,42,Finance,1,16.0,150,134700
1,32,Tech,7,11.0,39,268561
0,38,Tech,7,14.0,41,271099
0,34,Other,4,12.0,29,180820
0,42,Media,2,16.0,71,255455
0,42,Tech,7,16.0,59,456840
0,32,Tech,7,11.0,24,264418
0,29,Media,2,9.5,95,241999
0,34,Engineering,0,12.0,77,153087
0,33,Other,4,11.5,59,122833
0,33,Sales,6,11.5,35,183865
1,30,Finance,1,10.0,26,87122
1,29,Other,4,9.5,50,131185
1,27,Finance,1,8.5,10,81817
0,31,Media,2,10.5,28,209583
0,28,Operations,3,9.0,84,131898
0,39,Finance,1,14.5,88,208856
0,35,Other,4,12.5,49,155214
1,34,Other,4,12.0,77,129348
0,37,Media,2,13.5,56,330566
0,46,Other,4,18.0,89,456160
0,32,Media,2,11.0,95,188788
1,41,Engineering,0,15.5,39,221908
0,34,Other,4,12.0,17,283287
1,46,Other,4,18.0,16,298103
1,37,Other,4,13.5,61,189612
0,31,Media,2,10.5,49,100576
0,30,Engineering,0,10.0,24,246040
0,34,Other,4,12.0,62,237740
0,39,Tech,7,14.5,80,348884
0,31,Engineering,0,10.5,36,183431
0,34,Tech,7,12.0,85,237598
1,31,Media,2,10.5,30,15294
0,37,Finance,1,13.5,106,91837
0,38,Operations,3,14.0,164,280266
0,35,Media,2,12.5,54,380720
0,43,Finance,1,16.5,121,492954
0,32,Product,5,11.0,33,229266
0,36,Media,2,13.0,55,243805
0,33,Media,2,11.5,65,286098
1,35,Other,4,12.5,16,360603
1,37,Other,4,13.5,99,120674
0,41,Tech,7,15.5,64,422922
0,40,Finance,1,15.0,112,162978
0,34,Tech,7,12.0,56,222380
0,36,Media,2,13.0,60,173960
1,33,Tech,7,11.5,58,160893
0,35,Other,4,12.5,158,314797
0,41,Tech,7,15.5,40,209262
1,35,Other,4,12.5,91,159805
1,49,Engineering,0,19.5,39,181728
1,36,Other,4,13.0,40,263207
1,39,Other,4,14.5,37,101757
0,32,Finance,1,11.0,72,115594
0,44,Tech,7,17.0,190,290207
0,28,Other,4,9.0,34,126536
1,31,Other,4,10.5,103,190359
0,35,Other,4,12.5,56,233004
0,37,Media,2,13.5,91,171305
0,31,Finance,1,10.5,33,77513
0,36,Media,2,13.0,38,264375
0,32,Tech,7,11.0,57,204704
0,30,Tech,7,10.0,83,155130
0,36,Sales,6,13.0,83,162081
0,56,Tech,7,23.0,68,614940
0,33,Tech,7,11.5,84,109816
0,32,Finance,1,11.0,28,75997
0,32,Other,4,11.0,74,92346
0,37,Other,4,13.5,28,219914
0,36,Finance,1,13.0,88,110761
0,31,Tech,7,10.5,10,104133
0,34,Finance,1,12.0,83,136574
0,39,Other,4,14.5,39,486983
1,29,Other,4,9.5,36,113284
1,29,Tech,7,9.5,58,229033
0,33,Operations,3,11.5,95,166870
0,35,Tech,7,12.5,37,214580
0,32,Other,4,11.0,51,158260
0,36,Tech,7,13.0,15,261951
0,32,Media,2,11.0,48,267066
0,30,Other,4,10.0,79,187260
0,35,Finance,1,12.5,93,119158
1,29,Finance,1,9.5,22,83591
1,35,Finance,1,12.5,70,119909
0,35,Tech,7,12.5,71,184600
0,27,Other,4,8.5,81,103347
0,30,Tech,7,10.0,64,90095
0,32,Tech,7,11.0,30,189110
0,39,Other,4,14.5,91,199835
0,32,Media,2,11.0,66,226285
0,36,Tech,7,13.0,113,143287
0,37,Product,5,13.5,134,214853
0,31,Other,4,10.5,62,159893
0,41,Tech,7,15.5,120,297612
1,37,Other,4,13.5,120,120608
0,27,Tech,7,8.5,23,109930
0,35,Tech,7,12.5,141,235743
0,30,Media,2,10.0,34,195495
1,37,Finance,1,13.5,144,130158
0,29,Tech,7,9.5,36,159908
1,36,Other,4,13.0,33,96081
0,37,Other,4,13.5,132,225741
0,29,Other,4,9.5,48,100337
0,44,Other,4,17.0,164,400372
0,34,Tech,7,12.0,43,121024
1,28,Tech,7,9.0,39,103601
0,32,Tech,7,11.0,39,270853
0,37,Operations,3,13.5,150,225669
0,31,Tech,7,10.5,34,97495
0,32,Other,4,11.0,59,69255
1,29,Other,4,9.5,31,168744
0,38,Tech,7,14.0,93,166308
1,50,Other,4,20.0,85,240530
0,29,Tech,7,9.5,97,247988
0,41,Other,4,15.5,60,124970
0,30,Other,4,10.0,37,70716
0,33,Other,4,11.5,25,188956
0,30,Tech,7,10.0,60,166223
0,33,Other,4,11.5,30,230473
0,30,Media,2,10.0,40,221303
0,31,Other,4,10.5,91,213584
0,32,Tech,7,11.0,50,225695
1,30,Finance,1,10.0,11,94365
1,30,Other,4,10.0,11,100341
1,30,Finance,1,10.0,51,87616
0,34,Other,4,12.0,57,119519
0,37,Other,4,13.5,92,117344
0,29,Other,4,9.5,57,246201
0,33,Other,4,11.5,35,159007
0,36,Tech,7,13.0,93,355671
0,33,Product,5,11.5,85,213017
0,35,Engineering,0,12.5,33,255399
1,33,Other,4,11.5,94,197793
0,36,Other,4,13.0,32,237438
0,29,Other,4,9.5,40,141053
0,41,Media,2,15.5,87,638987
0,34,Tech,7,12.0,50,249868
1,30,Other,4,10.0,68,156414
0,36,Media,2,13.0,53,183561
0,44,Finance,1,17.0,129,154895
0,35,Tech,7,12.5,48,179855
0,37,Engineering,0,13.5,18,296225
0,43,Tech,7,16.5,125,764148
0,38,Media,2,14.0,117,420806
0,35,Other,4,12.5,117,168377
0,29,Other,4,9.5,35,130485
0,40,Engineering,0,15.0,162,313899
0,33,Tech,7,11.5,57,215817
1,36,Operations,3,13.0,105,102970
1,44,Engineering,0,17.0,173,730261
1,42,Other,4,16.0,190,426883
1,29,Other,4,9.5,10,183340
0,34,Other,4,12.0,130,148259
0,32,Other,4,11.0,127,351917
0,34,Tech,7,12.0,73,231899
0,36,Tech,7,13.0,113,248050
1,29,Tech,7,9.5,56,152548
0,36,Media,2,13.0,111,187462
0,34,Other,4,12.0,121,119991
0,30,Tech,7,10.0,57,198623
0,34,Tech,7,12.0,64,176492
0,30,Operations,3,10.0,21,154337
0,42,Other,4,16.0,87,190276
0,29,Media,2,9.5,21,153567
0,31,Sales,6,10.5,65,286147
0,38,Tech,7,14.0,36,321993
1,28,Finance,1,9.0,64,112973
1,34,Finance,1,12.0,96,111504
0,31,Finance,1,10.5,49,121659
1,33,Tech,7,11.5,47,142609
1,37,Media,2,13.5,11,279207
1,29,Finance,1,9.5,63,104470
0,34,Other,4,12.0,69,240797
0,35,Engineering,0,12.5,54,250249
0,30,Other,4,10.0,77,112556
0,38,Engineering,0,14.0,82,304584
0,34,Other,4,12.0,70,97879
0,34,Operations,3,12.0,59,125930
0,30,Tech,7,10.0,23,124605
0,29,Media,2,9.5,12,178533
0,32,Tech,7,11.0,66,301858
1,30,Tech,7,10.0,35,107452
0,29,Tech,7,9.5,38,216316
0,37,Other,4,13.5,92,462384
0,35,Finance,1,12.5,21,82831
0,33,Media,2,11.5,10,162667
0,30,Tech,7,10.0,57,144295
1,38,Tech,7,14.0,35,147241
1,29,Other,4,9.5,23,94937
1,31,Sales,6,10.5,34,140609
0,32,Finance,1,11.0,93,138234
0,31,Operations,3,10.5,38,95440
1,29,Other,4,9.5,28,87473
1,34,Other,4,12.0,13,197486
1,35,Other,4,12.5,36,159366
0,29,Media,2,9.5,51,154735
0,34,Tech,7,12.0,47,222235
0,29,Other,4,9.5,64,185687
1,36,Other,4,13.0,134,300785
0,29,Engineering,0,9.5,21,183012
0,33,Other,4,11.5,67,132568
1,35,Tech,7,12.5,32,135454
0,40,Other,4,15.0,135,383403
0,30,Tech,7,10.0,9,167600
0,40,Tech,7,15.0,150,454997
0,47,Tech,7,18.5,137,1024965
0,32,Other,4,11.0,73,249442
1,35,Tech,7,12.5,108,312856
0,37,Other,4,13.5,147,285580
1,31,Other,4,10.5,38,96221
0,33,Other,4,11.5,36,84392
1,32,Other,4,11.0,71,157291
1,28,Other,4,9.0,9,102266
0,41,Operations,3,15.5,154,163092
0,31,Media,2,10.5,42,176041
1,41,Tech,7,15.5,94,321718
1,31,Tech,7,10.5,67,179623
1,29,Tech,7,9.5,32,180489
0,42,Other,4,16.0,21,467780
1,36,Other,4,13.0,84,99142
0,40,Other,4,15.0,86,243478
0,31,Tech,7,10.5,39,172598
0,34,Tech,7,12.0,36,201387
0,33,Media,2,11.5,20,204163
1,33,Tech,7,11.5,90,148977
0,31,Other,4,10.5,74,84765
0,34,Tech,7,12.0,59,238401
0,34,Sales,6,12.0,34,200791
0,41,Tech,7,15.5,82,326866
0,35,Other,4,12.5,47,205736
0,29,Other,4,9.5,15,100454
0,34,Operations,3,12.0,86,210649
0,36,Tech,7,13.0,79,154535
0,40,Other,4,15.0,81,338582
0,43,Other,4,16.5,14,273733
0,32,Tech,7,11.0,42,162139
1,28,Other,4,9.0,50,156657
0,42,Other,4,16.0,23,216529
0,34,Other,4,12.0,41,96100
1,39,Engineering,0,14.5,58,295210
0,41,Tech,7,15.5,42,312250
0,40,Finance,1,15.0,97,110318
1,46,Sales,6,18.0,19,152512
0,37,Media,2,13.5,38,251374
1,38,Tech,7,14.0,93,183606
1,33,Tech,7,11.5,91,307862
0,31,Tech,7,10.5,63,226199
1,32,Other,4,11.0,87,112341
1,39,Media,2,14.5,71,288103
0,36,Media,2,13.0,79,388584
1,31,Other,4,10.5,32,79625
1,34,Product,5,12.0,58,115908
0,32,Other,4,11.0,38,178748
0,29,Other,4,9.5,48,85203
0,32,Other,4,11.0,87,213322
0,31,Operations,3,10.5,64,157394
1,29,Operations,3,9.5,95,280767
0,31,Other,4,10.5,34,98433
0,36,Sales,6,13.0,61,231946
0,37,Tech,7,13.5,63,273914
0,29,Other,4,9.5,9,158700
0,31,Tech,7,10.5,83,192152
0,32,Other,4,11.0,87,204496
0,30,Operations,3,10.0,66,216467
0,33,Tech,7,11.5,31,351403
0,30,Tech,7,10.0,90,201224
0,37,Tech,7,13.5,132,269696
1,39,Other,4,14.5,115,153716
